building_id,building_name,city,building_type,ownership,year_built,gross_floor_area_m2,total_floors,estimated_occupancy,latitude,longitude,data_origin
BLD001,Administration TP.HCM 001,TP.HCM,Administration,Private,2016,44291.0,33,3172,10.861847,106.669106,SYNTHETIC_VN_REALISTIC
BLD002,Retail Đà Nẵng 002,Đà Nẵng,Retail,Public,2007,36723.8,16,371,16.089925,108.148281,SYNTHETIC_VN_REALISTIC
BLD003,Office Hải Phòng 003,Hải Phòng,Office,Joint Venture,2025,33996.9,10,1190,20.907448,106.614032,SYNTHETIC_VN_REALISTIC
BLD004,Office Hà Nội 004,Hà Nội,Office,State-owned,2010,17935.4,24,882,20.994731,105.834808,SYNTHETIC_VN_REALISTIC
BLD005,Hospital Hải Phòng 005,Hải Phòng,Hospital,Private,2015,56856.6,33,532,20.842491,106.754128,SYNTHETIC_VN_REALISTIC
BLD006,Hotel Đà Nẵng 006,Đà Nẵng,Hotel,Private,2024,32915.3,20,631,16.12295,108.278148,SYNTHETIC_VN_REALISTIC
BLD007,Administration Hà Nội 007,Hà Nội,Administration,Joint Venture,2006,46533.5,4,3346,20.992859,105.925239,SYNTHETIC_VN_REALISTIC
BLD008,Retail Cần Thơ 008,Cần Thơ,Retail,Public,2002,46807.6,20,2310,9.988447,105.672455,SYNTHETIC_VN_REALISTIC
BLD009,Hotel Hải Phòng 009,Hải Phòng,Hotel,Public,2023,48895.3,30,2737,20.816409,106.708272,SYNTHETIC_VN_REALISTIC
BLD010,Administration TP.HCM 010,TP.HCM,Administration,Public,2001,10616.0,29,2025,10.76152,106.655642,SYNTHETIC_VN_REALISTIC
BLD011,Office Đà Nẵng 011,Đà Nẵng,Office,Joint Venture,2020,57407.8,8,1890,15.991071,108.195842,SYNTHETIC_VN_REALISTIC
BLD012,Retail Cần Thơ 012,Cần Thơ,Retail,Private,2012,41200.5,16,1439,10.057375,105.766435,SYNTHETIC_VN_REALISTIC
BLD013,University Hà Nội 013,Hà Nội,University,Private,2024,7292.0,29,936,21.036322,105.908582,SYNTHETIC_VN_REALISTIC
BLD014,Mixed-use Cần Thơ 014,Cần Thơ,Mixed-use,State-owned,2006,24876.0,27,879,9.974839,105.715721,SYNTHETIC_VN_REALISTIC
BLD015,Office Cần Thơ 015,Cần Thơ,Office,State-owned,2013,33807.7,21,458,10.030694,105.744816,SYNTHETIC_VN_REALISTIC
BLD016,Hospital Hà Nội 016,Hà Nội,Hospital,Private,2025,5391.8,29,649,21.08598,105.880964,SYNTHETIC_VN_REALISTIC
BLD017,Office Hải Phòng 017,Hải Phòng,Office,Joint Venture,2018,40367.7,11,2960,20.834236,106.620606,SYNTHETIC_VN_REALISTIC
BLD018,Retail Hải Phòng 018,Hải Phòng,Retail,Joint Venture,2018,28979.9,31,1910,20.852099,106.741287,SYNTHETIC_VN_REALISTIC
BLD019,Office TP.HCM 019,TP.HCM,Office,State-owned,2009,36131.9,28,726,10.768003,106.680028,SYNTHETIC_VN_REALISTIC
BLD020,Mixed-use Đà Nẵng 020,Đà Nẵng,Mixed-use,Public,2010,38568.6,12,1206,16.050727,108.198937,SYNTHETIC_VN_REALISTIC
BLD021,Hotel Hải Phòng 021,Hải Phòng,Hotel,Joint Venture,1999,62443.6,24,1900,20.805697,106.611055,SYNTHETIC_VN_REALISTIC
BLD022,Hotel TP.HCM 022,TP.HCM,Hotel,Public,2011,24322.0,19,1611,10.773134,106.575197,SYNTHETIC_VN_REALISTIC
