building_id,report_year,eui_kwh_m2_year,water_intensity_m3_m2_year,hvac_energy_share_percent,lighting_energy_share_percent,equipment_energy_share_percent,transport_energy_share_percent,data_origin
BLD001,2026,167.3,0.48,55.9,11.5,23.5,9.1,SYNTHETIC_VN_REALISTIC
BLD002,2026,152.8,0.65,51.8,8.9,27.5,11.9,SYNTHETIC_VN_REALISTIC
BLD003,2026,156.7,1.17,58.9,17.5,18.4,5.3,SYNTHETIC_VN_REALISTIC
BLD004,2026,130.5,1.11,53.9,15.3,22.0,8.8,SYNTHETIC_VN_REALISTIC
BLD005,2026,323.7,1.21,54.4,9.3,20.8,15.5,SYNTHETIC_VN_REALISTIC
BLD006,2026,192.8,1.4,48.3,15.2,28.8,7.6,SYNTHETIC_VN_REALISTIC
BLD007,2026,141.9,1.37,51.3,13.4,22.6,12.7,SYNTHETIC_VN_REALISTIC
BLD008,2026,264.1,1.05,53.0,14.2,25.6,7.2,SYNTHETIC_VN_REALISTIC
BLD009,2026,192.5,1.86,58.1,9.5,21.1,11.3,SYNTHETIC_VN_REALISTIC
BLD010,2026,153.2,0.72,47.7,12.3,28.7,11.3,SYNTHETIC_VN_REALISTIC
BLD011,2026,172.4,0.58,50.8,16.4,17.9,14.9,SYNTHETIC_VN_REALISTIC
BLD012,2026,268.1,0.5,50.8,18.0,23.3,7.9,SYNTHETIC_VN_REALISTIC
BLD013,2026,164.6,0.89,49.6,11.6,25.9,12.9,SYNTHETIC_VN_REALISTIC
BLD014,2026,179.6,1.09,56.8,14.4,18.7,10.1,SYNTHETIC_VN_REALISTIC
BLD015,2026,182.8,0.68,57.4,10.8,25.7,6.1,SYNTHETIC_VN_REALISTIC
BLD016,2026,306.6,1.0,51.0,11.7,23.0,14.3,SYNTHETIC_VN_REALISTIC
BLD017,2026,158.5,1.08,58.1,10.2,21.7,10.0,SYNTHETIC_VN_REALISTIC
BLD018,2026,225.5,0.78,44.7,16.7,24.9,13.7,SYNTHETIC_VN_REALISTIC
BLD019,2026,144.2,0.71,56.2,15.3,16.8,11.7,SYNTHETIC_VN_REALISTIC
BLD020,2026,225.8,0.86,57.7,15.6,18.1,8.7,SYNTHETIC_VN_REALISTIC
BLD021,2026,209.1,1.19,49.9,17.3,21.8,11.0,SYNTHETIC_VN_REALISTIC
BLD022,2026,254.2,1.19,47.9,17.3,19.6,15.2,SYNTHETIC_VN_REALISTIC
BLD023,2026,206.7,1.04,58.5,13.6,18.8,9.1,SYNTHETIC_VN_REALISTIC
BLD024,2026,339.7,1.25,46.6,13.1,26.9,13.5,SYNTHETIC_VN_REALISTIC
BLD025,2026,267.7,1.16,56.2,16.2,15.8,11.8,SYNTHETIC_VN_REALISTIC
BLD026,2026,194.4,0.54,49.1,14.0,22.1,14.7,SYNTHETIC_VN_REALISTIC
BLD027,2026,202.7,1.72,55.9,13.2,22.4,8.5,SYNTHETIC_VN_REALISTIC
BLD028,2026,215.3,1.04,47.5,12.7,29.3,10.5,SYNTHETIC_VN_REALISTIC
BLD029,2026,246.3,1.11,53.8,11.3,20.7,14.1,SYNTHETIC_VN_REALISTIC
BLD030,2026,286.4,0.76,51.6,11.3,20.5,16.5,SYNTHETIC_VN_REALISTIC
BLD031,2026,238.2,1.69,53.0,14.0,17.4,15.5,SYNTHETIC_VN_REALISTIC
BLD032,2026,278.8,1.01,55.6,14.7,15.4,14.3,SYNTHETIC_VN_REALISTIC
BLD033,2026,192.1,1.15,46.6,14.1,23.1,16.1,SYNTHETIC_VN_REALISTIC
BLD034,2026,257.0,1.33,58.5,9.6,23.3,8.7,SYNTHETIC_VN_REALISTIC
BLD035,2026,171.9,0.97,60.3,16.1,17.2,6.4,SYNTHETIC_VN_REALISTIC
BLD036,2026,235.3,0.79,52.7,10.9,24.1,12.3,SYNTHETIC_VN_REALISTIC
BLD037,2026,255.5,0.68,60.0,14.5,20.3,5.2,SYNTHETIC_VN_REALISTIC
BLD038,2026,123.0,0.69,52.1,11.6,24.0,12.3,SYNTHETIC_VN_REALISTIC
BLD039,2026,138.8,0.86,50.8,13.9,23.7,11.5,SYNTHETIC_VN_REALISTIC
BLD040,2026,203.0,1.52,61.0,9.8,16.1,13.0,SYNTHETIC_VN_REALISTIC
BLD041,2026,131.1,0.62,44.2,14.0,26.3,15.4,SYNTHETIC_VN_REALISTIC
BLD042,2026,223.1,0.78,59.5,9.0,18.9,12.5,SYNTHETIC_VN_REALISTIC
BLD043,2026,262.0,0.96,45.1,12.0,27.3,15.6,SYNTHETIC_VN_REALISTIC
BLD044,2026,194.6,0.7,55.2,11.4,22.9,10.6,SYNTHETIC_VN_REALISTIC
BLD045,2026,138.6,0.74,61.6,8.9,21.7,7.7,SYNTHETIC_VN_REALISTIC
BLD046,2026,183.0,1.01,54.0,14.7,20.6,10.7,SYNTHETIC_VN_REALISTIC
BLD047,2026,158.4,1.26,44.2,9.7,28.9,17.2,SYNTHETIC_VN_REALISTIC
BLD048,2026,207.9,1.35,57.0,9.2,21.0,12.8,SYNTHETIC_VN_REALISTIC
BLD049,2026,251.4,1.08,54.2,14.0,19.2,12.6,SYNTHETIC_VN_REALISTIC
BLD050,2026,221.9,1.52,48.9,17.5,22.3,11.3,SYNTHETIC_VN_REALISTIC
BLD051,2026,143.6,0.75,53.8,9.7,22.8,13.7,SYNTHETIC_VN_REALISTIC
BLD052,2026,218.8,1.26,49.3,17.8,20.1,12.8,SYNTHETIC_VN_REALISTIC
BLD053,2026,139.9,1.24,53.8,13.4,24.5,8.3,SYNTHETIC_VN_REALISTIC
BLD054,2026,99.5,0.83,52.2,15.4,22.8,9.7,SYNTHETIC_VN_REALISTIC
BLD055,2026,382.3,0.55,59.1,9.7,16.1,15.1,SYNTHETIC_VN_REALISTIC
BLD056,2026,148.0,1.51,48.7,12.2,26.9,12.1,SYNTHETIC_VN_REALISTIC
BLD057,2026,161.5,1.18,56.9,17.0,18.1,8.1,SYNTHETIC_VN_REALISTIC
BLD058,2026,179.3,1.02,48.1,17.3,23.7,10.9,SYNTHETIC_VN_REALISTIC
BLD059,2026,149.2,1.24,55.6,8.2,23.4,12.7,SYNTHETIC_VN_REALISTIC
BLD060,2026,197.1,0.73,50.2,17.7,21.1,11.1,SYNTHETIC_VN_REALISTIC
BLD061,2026,294.8,0.97,51.1,13.3,23.2,12.4,SYNTHETIC_VN_REALISTIC
BLD062,2026,129.2,1.01,44.4,15.6,25.4,14.7,SYNTHETIC_VN_REALISTIC
BLD063,2026,235.1,1.32,47.7,14.7,19.8,17.7,SYNTHETIC_VN_REALISTIC
BLD064,2026,135.5,0.92,47.9,11.0,26.0,15.1,SYNTHETIC_VN_REALISTIC
BLD065,2026,274.9,1.34,59.3,10.9,16.9,13.0,SYNTHETIC_VN_REALISTIC
BLD066,2026,187.1,0.66,52.2,14.2,22.0,11.6,SYNTHETIC_VN_REALISTIC
BLD067,2026,151.1,1.1,49.9,17.4,17.5,15.2,SYNTHETIC_VN_REALISTIC
BLD068,2026,244.8,1.12,50.3,12.7,27.6,9.4,SYNTHETIC_VN_REALISTIC
BLD069,2026,246.7,0.99,46.3,17.7,21.0,15.0,SYNTHETIC_VN_REALISTIC
BLD070,2026,254.2,0.95,59.5,8.7,23.1,8.6,SYNTHETIC_VN_REALISTIC
BLD071,2026,211.3,1.34,49.8,11.6,24.1,14.4,SYNTHETIC_VN_REALISTIC
BLD072,2026,175.3,1.11,47.4,15.3,24.8,12.5,SYNTHETIC_VN_REALISTIC
BLD073,2026,119.2,0.89,58.4,12.9,20.9,7.8,SYNTHETIC_VN_REALISTIC
BLD074,2026,195.6,0.72,53.6,15.6,24.1,6.7,SYNTHETIC_VN_REALISTIC
BLD075,2026,150.7,1.2,52.1,15.2,25.8,6.9,SYNTHETIC_VN_REALISTIC
BLD076,2026,190.0,1.06,46.3,11.5,26.7,15.4,SYNTHETIC_VN_REALISTIC
BLD077,2026,179.2,1.58,50.2,14.0,24.6,11.2,SYNTHETIC_VN_REALISTIC
BLD078,2026,212.2,0.85,59.4,13.1,22.2,5.3,SYNTHETIC_VN_REALISTIC
BLD079,2026,230.8,1.61,48.1,13.5,23.5,14.9,SYNTHETIC_VN_REALISTIC
BLD080,2026,118.6,0.68,53.9,11.8,19.0,15.3,SYNTHETIC_VN_REALISTIC
BLD081,2026,337.2,0.98,55.0,11.5,20.1,13.5,SYNTHETIC_VN_REALISTIC
BLD082,2026,233.5,1.48,53.5,15.2,25.3,6.1,SYNTHETIC_VN_REALISTIC
BLD083,2026,189.4,1.25,47.5,12.2,27.0,13.3,SYNTHETIC_VN_REALISTIC
BLD084,2026,198.1,1.18,44.6,15.7,25.0,14.7,SYNTHETIC_VN_REALISTIC
BLD085,2026,158.2,1.13,53.8,16.4,15.4,14.4,SYNTHETIC_VN_REALISTIC
BLD086,2026,199.2,0.66,53.3,10.9,21.4,14.3,SYNTHETIC_VN_REALISTIC
BLD087,2026,226.1,0.33,50.2,15.9,27.6,6.3,SYNTHETIC_VN_REALISTIC
BLD088,2026,146.8,1.81,55.7,17.8,18.8,7.7,SYNTHETIC_VN_REALISTIC
BLD089,2026,315.1,0.95,55.9,10.1,19.6,14.4,SYNTHETIC_VN_REALISTIC
BLD090,2026,279.6,1.26,51.1,15.2,23.1,10.7,SYNTHETIC_VN_REALISTIC
BLD091,2026,285.0,1.31,51.9,14.4,23.7,10.0,SYNTHETIC_VN_REALISTIC
BLD092,2026,161.0,0.63,55.4,8.4,25.9,10.4,SYNTHETIC_VN_REALISTIC
BLD093,2026,246.8,0.89,49.1,18.1,22.2,10.6,SYNTHETIC_VN_REALISTIC
BLD094,2026,234.5,0.66,53.6,14.4,19.8,12.1,SYNTHETIC_VN_REALISTIC
BLD095,2026,376.1,1.36,51.7,11.4,26.3,10.7,SYNTHETIC_VN_REALISTIC
BLD096,2026,208.4,1.67,54.2,14.0,23.2,8.5,SYNTHETIC_VN_REALISTIC
BLD097,2026,209.7,1.27,49.9,14.4,20.6,15.1,SYNTHETIC_VN_REALISTIC
BLD098,2026,100.0,0.65,54.2,12.1,20.8,12.8,SYNTHETIC_VN_REALISTIC
BLD099,2026,170.0,0.56,60.7,12.0,20.3,7.0,SYNTHETIC_VN_REALISTIC
BLD100,2026,171.9,1.72,57.5,10.7,18.5,13.4,SYNTHETIC_VN_REALISTIC
BLD101,2026,202.6,1.26,53.2,16.6,17.9,12.3,SYNTHETIC_VN_REALISTIC
BLD102,2026,213.3,1.37,56.8,12.3,17.9,13.0,SYNTHETIC_VN_REALISTIC
BLD103,2026,218.4,1.15,56.9,15.3,19.4,8.5,SYNTHETIC_VN_REALISTIC
BLD104,2026,179.6,1.48,46.7,17.1,19.5,16.7,SYNTHETIC_VN_REALISTIC
BLD105,2026,96.7,0.53,52.5,13.7,21.8,12.1,SYNTHETIC_VN_REALISTIC
BLD106,2026,328.8,0.9,54.0,13.0,27.4,5.7,SYNTHETIC_VN_REALISTIC
BLD107,2026,253.8,1.37,53.6,9.7,24.2,12.5,SYNTHETIC_VN_REALISTIC
BLD108,2026,303.8,0.84,55.6,15.4,22.1,6.9,SYNTHETIC_VN_REALISTIC
BLD109,2026,207.2,1.17,53.4,17.3,20.7,8.5,SYNTHETIC_VN_REALISTIC
BLD110,2026,269.1,0.72,48.1,15.9,21.2,14.8,SYNTHETIC_VN_REALISTIC
BLD111,2026,187.9,1.16,61.5,11.4,20.6,6.5,SYNTHETIC_VN_REALISTIC
BLD112,2026,208.1,1.16,51.7,11.6,22.1,14.6,SYNTHETIC_VN_REALISTIC
BLD113,2026,158.9,0.66,56.7,14.6,21.7,7.0,SYNTHETIC_VN_REALISTIC
BLD114,2026,219.2,1.57,52.8,14.3,21.5,11.4,SYNTHETIC_VN_REALISTIC
BLD115,2026,231.9,0.67,46.5,18.9,17.5,17.1,SYNTHETIC_VN_REALISTIC
BLD116,2026,165.7,0.71,57.2,14.0,21.0,7.8,SYNTHETIC_VN_REALISTIC
BLD117,2026,204.5,0.93,55.3,8.9,19.5,16.2,SYNTHETIC_VN_REALISTIC
BLD118,2026,197.9,0.79,48.9,17.4,18.5,15.2,SYNTHETIC_VN_REALISTIC
BLD119,2026,216.4,1.63,56.8,9.6,25.3,8.4,SYNTHETIC_VN_REALISTIC
BLD120,2026,265.6,1.03,52.1,12.9,21.6,13.4,SYNTHETIC_VN_REALISTIC
