electric_meter_id,building_id,meter_level,meter_type,voltage_level_v,contract_demand_kw,utility_region,status,data_origin
EM001-1,BLD001,Main,Smart Meter,380,1807.3,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM001-2,BLD001,HVAC,Smart Meter,400,1437.2,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM002-1,BLD002,Main,Smart Meter,400,1642.1,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM002-2,BLD002,HVAC,Smart Meter,380,1072.2,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM003-1,BLD003,Main,3-phase CT,380,1519.8,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM003-2,BLD003,HVAC,3-phase CT,400,957.8,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM004-1,BLD004,Main,3-phase CT,380,759.1,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM004-2,BLD004,HVAC,3-phase Direct,380,796.7,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM005-1,BLD005,Main,Smart Meter,380,1804.9,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM005-2,BLD005,HVAC,3-phase CT,380,2240.6,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM006-1,BLD006,Main,Smart Meter,380,1239.3,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM006-2,BLD006,HVAC,3-phase Direct,400,1110.5,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM007-1,BLD007,Main,3-phase CT,400,1943.3,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM007-2,BLD007,HVAC,Smart Meter,380,2707.1,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM008-1,BLD008,Main,Smart Meter,380,2282.8,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM008-2,BLD008,HVAC,3-phase CT,380,1932.9,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM009-1,BLD009,Main,3-phase Direct,380,1484.4,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM009-2,BLD009,HVAC,Smart Meter,380,1243.2,Hải Phòng,Active,SYNTHETIC_VN_REALISTIC
EM010-1,BLD010,Main,3-phase Direct,400,335.2,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM010-2,BLD010,HVAC,3-phase CT,400,559.6,TP.HCM,Active,SYNTHETIC_VN_REALISTIC
EM011-1,BLD011,Main,Smart Meter,400,1596.2,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM011-2,BLD011,HVAC,Smart Meter,400,2385.7,Đà Nẵng,Active,SYNTHETIC_VN_REALISTIC
EM012-1,BLD012,Main,3-phase Direct,400,1279.7,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM012-2,BLD012,HVAC,3-phase Direct,380,2183.7,Cần Thơ,Active,SYNTHETIC_VN_REALISTIC
EM013-1,BLD013,Main,3-phase Direct,400,276.4,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
EM013-2,BLD013,HVAC,3-phase Direct,400,274.5,Hà Nội,Active,SYNTHETIC_VN_REALISTIC
