electric_meter_id,building_id,timestamp,energy_kwh,demand_kw,voltage_v,power_factor,data_quality,data_origin
EM001-1,BLD001,2026-08-01 00:00:00,56.562,62.124,381.7,0.964,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 01:00:00,58.727,66.026,400.3,0.974,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 02:00:00,51.521,48.406,398.4,0.913,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 03:00:00,53.611,55.836,379.0,0.881,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 04:00:00,52.188,60.322,394.3,0.903,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 05:00:00,49.272,52.274,401.3,0.984,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 06:00:00,95.101,86.85,381.3,0.867,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 07:00:00,104.734,129.254,379.2,0.953,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 08:00:00,87.441,108.204,373.7,0.878,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 09:00:00,94.835,98.241,380.1,0.864,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 10:00:00,96.984,112.696,392.8,0.967,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 11:00:00,108.642,111.913,383.3,0.982,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 12:00:00,101.342,120.716,403.5,0.867,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 13:00:00,122.73,147.41,373.4,0.921,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 14:00:00,135.688,156.401,404.4,0.891,Good,SYNTHETIC_VN_REALISTIC
EM001-1,BLD001,2026-08-01 15:00:00,126.186,121.153,382.3,0.973,Good,SYNTHETIC_VN_REALISTIC
