equipment_id,building_id,equipment_type,system_category,floor_or_zone,manufacturer,model,install_year,rated_power_kw,status,criticality,data_origin
EQ00001,BLD001,AHU,HVAC,6,Toshiba,AHU-321,2025,135.3,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00002,BLD001,Fire Pump,Fire Safety,1,Grundfos,FIR-855,2019,265.5,Active,High,SYNTHETIC_VN_REALISTIC
EQ00003,BLD001,CO2 Sensor,BMS,13,Mitsubishi,CO2-872,2023,0,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00004,BLD001,Chiller,HVAC,11,Carrier,CHI-797,2020,168.5,Standby,Medium,SYNTHETIC_VN_REALISTIC
EQ00005,BLD001,Transformer,Electrical,23,Trane,TRA-580,2025,264.9,Active,High,SYNTHETIC_VN_REALISTIC
EQ00006,BLD001,Transformer,Electrical,4,Panasonic,TRA-460,2021,426.3,Standby,Low,SYNTHETIC_VN_REALISTIC
EQ00007,BLD001,Booster Pump,Plumbing,32,ABB,BOO-103,2016,22.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00008,BLD001,Humidity Sensor,BMS,2,Schneider,HUM-582,2020,0,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00009,BLD001,Fire Pump,Fire Safety,12,Trane,FIR-444,2018,55.4,Standby,Medium,SYNTHETIC_VN_REALISTIC
EQ00010,BLD001,AHU,HVAC,27,Schneider,AHU-686,2024,408.5,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00011,BLD001,FCU,HVAC,26,Carrier,FCU-946,2018,283.3,Active,Medium,SYNTHETIC_VN_REALISTIC
EQ00012,BLD001,Humidity Sensor,BMS,30,ABB,HUM-789,2018,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00013,BLD001,MDB,Electrical,27,LS Electric,MDB-193,2021,153.5,Active,Low,SYNTHETIC_VN_REALISTIC
EQ00014,BLD001,Fire Pump,Fire Safety,18,Hitachi,FIR-940,2023,178.8,Maintenance,High,SYNTHETIC_VN_REALISTIC
EQ00015,BLD001,CO2 Sensor,BMS,29,Carrier,CO2-501,2020,0,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00016,BLD001,Lift,Vertical Transport,31,Hitachi,LIF-844,2016,394.2,Active,High,SYNTHETIC_VN_REALISTIC
EQ00017,BLD001,Water Pump,Plumbing,5,LS Electric,WAT-408,2023,234.0,Maintenance,Medium,SYNTHETIC_VN_REALISTIC
EQ00018,BLD001,Cooling Tower,HVAC,Roof,ABB,COO-691,2017,396.2,Standby,High,SYNTHETIC_VN_REALISTIC
EQ00019,BLD001,Temperature Sensor,BMS,3,Daikin,TEM-844,2023,0,Active,High,SYNTHETIC_VN_REALISTIC
EQ00020,BLD001,CO2 Sensor,BMS,18,Hitachi,CO2-500,2020,0,Active,High,SYNTHETIC_VN_REALISTIC
