fault_id,equipment_id,building_id,fault_timestamp,fault_type,severity,acknowledged,resolved,data_origin
FLT00001,EQ00848,BLD055,2026-01-06 23:00:00,Overcurrent,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00002,EQ00128,BLD009,2026-05-22 02:00:00,Communication Loss,Critical,No,No,SYNTHETIC_VN_REALISTIC
FLT00003,EQ00799,BLD052,2026-08-06 00:00:00,High Temperature,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00004,EQ01315,BLD084,2026-02-08 19:00:00,Communication Loss,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00005,EQ00585,BLD038,2026-02-10 19:00:00,High Temperature,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00006,EQ01115,BLD071,2026-05-17 20:00:00,Low Flow,Medium,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00007,EQ01529,BLD097,2026-07-04 08:00:00,Low Flow,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00008,EQ01181,BLD076,2026-05-06 02:00:00,Communication Loss,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00009,EQ00052,BLD004,2026-03-26 07:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00010,EQ00563,BLD037,2026-04-04 11:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00011,EQ00575,BLD037,2026-04-09 19:00:00,Abnormal Vibration,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00012,EQ01177,BLD076,2026-04-01 15:00:00,Low Pressure,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00013,EQ00326,BLD021,2026-04-22 11:00:00,Low Flow,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00014,EQ01079,BLD069,2026-07-10 11:00:00,Abnormal Vibration,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00015,EQ01379,BLD088,2026-08-18 00:00:00,Communication Loss,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00016,EQ00026,BLD002,2026-08-14 22:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00017,EQ00866,BLD056,2026-01-11 02:00:00,High Temperature,Critical,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00018,EQ01481,BLD094,2026-07-08 17:00:00,Valve Stuck,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00019,EQ00472,BLD030,2026-02-09 16:00:00,Valve Stuck,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00020,EQ01429,BLD091,2026-05-10 11:00:00,Abnormal Vibration,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00021,EQ00742,BLD048,2026-08-31 00:00:00,Sensor Drift,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00022,EQ00283,BLD019,2026-04-06 14:00:00,Low Pressure,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00023,EQ00453,BLD029,2026-09-04 20:00:00,Overcurrent,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00024,EQ00344,BLD022,2026-01-01 10:00:00,Communication Loss,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00025,EQ01442,BLD092,2026-08-29 11:00:00,Low Pressure,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00026,EQ00856,BLD055,2026-02-02 12:00:00,Low Pressure,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00027,EQ00114,BLD008,2026-03-07 05:00:00,Low Pressure,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00028,EQ00746,BLD048,2026-04-02 19:00:00,Overcurrent,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00029,EQ00119,BLD008,2026-06-15 14:00:00,Valve Stuck,Critical,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00030,EQ00850,BLD055,2026-03-15 15:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00031,EQ01083,BLD069,2026-01-20 04:00:00,Overcurrent,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00032,EQ00400,BLD026,2026-05-14 23:00:00,Valve Stuck,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00033,EQ01252,BLD080,2026-07-01 14:00:00,Valve Stuck,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00034,EQ01126,BLD072,2026-01-26 01:00:00,Low Pressure,Critical,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00035,EQ00955,BLD061,2026-04-21 04:00:00,Abnormal Vibration,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00036,EQ01336,BLD086,2026-06-10 02:00:00,Abnormal Vibration,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00037,EQ01197,BLD077,2026-03-03 21:00:00,Sensor Drift,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00038,EQ01128,BLD073,2026-08-21 06:00:00,Low Flow,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00039,EQ01300,BLD083,2026-06-03 19:00:00,Low Flow,Critical,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00040,EQ01878,BLD118,2026-02-18 11:00:00,Communication Loss,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00041,EQ01259,BLD080,2026-09-07 01:00:00,Abnormal Vibration,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00042,EQ00980,BLD062,2026-02-04 03:00:00,Communication Loss,Medium,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00043,EQ01606,BLD102,2026-07-09 22:00:00,Sensor Drift,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00044,EQ00020,BLD001,2026-02-09 03:00:00,Low Flow,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00045,EQ01289,BLD082,2026-05-10 07:00:00,High Temperature,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00046,EQ00522,BLD034,2026-06-15 11:00:00,Low Pressure,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00047,EQ01892,BLD119,2026-02-11 07:00:00,Overcurrent,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00048,EQ00220,BLD015,2026-01-17 04:00:00,Low Pressure,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00049,EQ00147,BLD011,2026-08-28 11:00:00,Low Flow,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00050,EQ00879,BLD057,2026-03-04 18:00:00,High Temperature,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00051,EQ00356,BLD023,2026-04-06 11:00:00,Communication Loss,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00052,EQ01423,BLD091,2026-01-27 20:00:00,High Temperature,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00053,EQ01329,BLD085,2026-07-06 05:00:00,Overcurrent,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00054,EQ01865,BLD117,2026-01-07 19:00:00,Abnormal Vibration,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00055,EQ01446,BLD092,2026-07-15 04:00:00,Low Pressure,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00056,EQ00966,BLD062,2026-05-13 15:00:00,Low Flow,Medium,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00057,EQ01409,BLD090,2026-08-14 04:00:00,High Temperature,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00058,EQ00108,BLD007,2026-03-11 04:00:00,Low Flow,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00059,EQ01301,BLD083,2026-03-03 18:00:00,High Temperature,Low,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00060,EQ00611,BLD039,2026-04-01 05:00:00,Valve Stuck,High,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00061,EQ01178,BLD076,2026-01-15 16:00:00,Overcurrent,Critical,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00062,EQ00418,BLD028,2026-02-02 16:00:00,Abnormal Vibration,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00063,EQ01212,BLD078,2026-04-02 21:00:00,Low Pressure,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00064,EQ01357,BLD087,2026-02-16 06:00:00,Valve Stuck,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00065,EQ00293,BLD019,2026-03-16 00:00:00,Overcurrent,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00066,EQ00991,BLD063,2026-03-03 17:00:00,Abnormal Vibration,Critical,Yes,No,SYNTHETIC_VN_REALISTIC
FLT00067,EQ00454,BLD029,2026-04-15 04:00:00,High Temperature,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00068,EQ00822,BLD053,2026-02-20 06:00:00,Low Flow,Low,No,No,SYNTHETIC_VN_REALISTIC
FLT00069,EQ00616,BLD040,2026-05-05 20:00:00,Overcurrent,Medium,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00070,EQ01640,BLD104,2026-07-03 14:00:00,Abnormal Vibration,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00071,EQ00755,BLD049,2026-04-18 06:00:00,Valve Stuck,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00072,EQ01859,BLD117,2026-08-12 20:00:00,Abnormal Vibration,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00073,EQ00480,BLD031,2026-01-26 10:00:00,Sensor Drift,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00074,EQ01107,BLD071,2026-05-23 07:00:00,Communication Loss,Medium,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00075,EQ01330,BLD085,2026-08-29 22:00:00,Sensor Drift,Low,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00076,EQ00559,BLD036,2026-04-16 18:00:00,Low Pressure,High,No,Yes,SYNTHETIC_VN_REALISTIC
FLT00077,EQ01626,BLD103,2026-08-17 03:00:00,Communication Loss,High,Yes,Yes,SYNTHETIC_VN_REALISTIC
FLT00078,EQ01186,BLD076,2026-08-05 11:00:00,Abnormal Vibration,Low,Yes,Yes,SYNTHETIC_VN_REALISTIC
