maintenance_id,equipment_id,building_id,maintenance_date,maintenance_type,work_order_status,downtime_hours,cost_vnd,technician_team,data_origin
MT00001,EQ00896,BLD058,2025-09-17,Calibration,Completed,6.7,3150000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00002,EQ00328,BLD022,2026-01-11,Preventive,Completed,1.8,18350000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00003,EQ00334,BLD022,2025-08-28,Calibration,Completed,6.6,22300000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00004,EQ01511,BLD096,2025-11-06,Cleaning,Completed,9.7,4000000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00005,EQ00831,BLD054,2025-09-30,Inspection,Completed,1.6,11000000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00006,EQ00539,BLD035,2025-07-05,Cleaning,Completed,11.6,12200000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00007,EQ01298,BLD083,2025-05-18,Cleaning,Completed,4.5,22050000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00008,EQ01863,BLD117,2025-10-06,Corrective,In Progress,2.1,200000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00009,EQ01195,BLD077,2025-11-16,Inspection,Completed,6.9,9100000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00010,EQ00590,BLD038,2025-01-25,Calibration,Completed,2.0,8200000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00011,EQ00123,BLD008,2026-04-04,Preventive,Completed,8.4,19600000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00012,EQ00799,BLD052,2026-06-04,Corrective,Completed,7.0,9050000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00013,EQ00626,BLD041,2025-05-24,Preventive,Completed,3.9,2050000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00014,EQ01790,BLD113,2026-02-18,Corrective,Completed,3.2,550000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00015,EQ01272,BLD082,2026-09-12,Corrective,Completed,9.8,3650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00016,EQ01434,BLD091,2026-02-24,Inspection,Completed,1.0,7150000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00017,EQ01261,BLD081,2025-02-19,Corrective,Completed,10.2,24650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00018,EQ01031,BLD065,2026-04-23,Corrective,Completed,2.9,17200000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00019,EQ00433,BLD028,2026-05-27,Corrective,Completed,3.4,19500000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00020,EQ01635,BLD104,2026-06-13,Cleaning,Completed,5.2,4500000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00021,EQ00610,BLD039,2025-06-25,Corrective,In Progress,5.8,16550000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00022,EQ01758,BLD111,2025-05-01,Inspection,In Progress,1.3,18650000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00023,EQ00075,BLD005,2026-08-08,Calibration,Completed,10.2,13100000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00024,EQ00397,BLD026,2026-02-14,Inspection,Completed,4.8,10550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00025,EQ01355,BLD086,2025-01-03,Calibration,Completed,0.3,1950000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00026,EQ01741,BLD110,2025-03-18,Preventive,Completed,2.2,2750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00027,EQ00012,BLD001,2026-08-15,Corrective,Open,5.4,1150000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00028,EQ00717,BLD046,2026-02-16,Preventive,Completed,6.3,22600000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00029,EQ00466,BLD030,2025-04-21,Cleaning,Completed,1.3,23700000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00030,EQ01685,BLD107,2026-03-17,Calibration,Completed,6.5,6000000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00031,EQ00322,BLD021,2025-09-15,Inspection,Completed,7.2,10550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00032,EQ00153,BLD011,2026-05-02,Corrective,Completed,5.0,21450000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00033,EQ01498,BLD095,2026-06-25,Preventive,Completed,8.1,7000000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00034,EQ01403,BLD089,2025-01-23,Corrective,Completed,3.1,22750000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00035,EQ00667,BLD043,2025-04-06,Preventive,In Progress,3.4,22300000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00036,EQ01599,BLD101,2026-06-11,Preventive,Completed,8.8,1100000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00037,EQ00139,BLD010,2026-07-09,Corrective,Completed,4.3,22600000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00038,EQ00028,BLD002,2026-07-10,Inspection,In Progress,6.1,7700000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00039,EQ00800,BLD052,2025-11-24,Cleaning,Open,11.3,12200000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00040,EQ00472,BLD030,2026-02-03,Inspection,In Progress,5.1,10700000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00041,EQ01902,BLD119,2026-04-20,Cleaning,In Progress,9.0,13550000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00042,EQ01378,BLD088,2026-09-08,Inspection,Open,4.5,6650000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00043,EQ00602,BLD039,2026-01-24,Preventive,Open,11.5,850000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00044,EQ00691,BLD044,2026-06-13,Cleaning,In Progress,4.8,18050000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00045,EQ01825,BLD115,2026-07-25,Inspection,Completed,4.9,14550000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00046,EQ01585,BLD100,2025-07-23,Corrective,Completed,5.0,17850000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00047,EQ00928,BLD059,2025-07-20,Cleaning,Open,11.3,16750000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00048,EQ01357,BLD087,2026-01-12,Preventive,In Progress,3.2,3800000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00049,EQ00039,BLD003,2025-10-02,Inspection,In Progress,4.9,5700000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00050,EQ00337,BLD022,2026-08-09,Preventive,Completed,10.3,9700000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00051,EQ00147,BLD011,2025-10-05,Calibration,Completed,4.4,7700000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00052,EQ01591,BLD101,2025-12-09,Preventive,Completed,4.6,20450000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00053,EQ00284,BLD019,2025-10-30,Preventive,Completed,10.0,17500000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00054,EQ00745,BLD048,2025-11-17,Calibration,In Progress,11.1,22700000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00055,EQ00511,BLD033,2025-09-15,Calibration,In Progress,9.3,11350000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00056,EQ00151,BLD011,2026-03-05,Calibration,Completed,9.7,19550000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00057,EQ00713,BLD046,2025-01-15,Corrective,Open,0.8,8250000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00058,EQ00461,BLD030,2025-04-13,Corrective,Completed,11.7,14800000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00059,EQ01492,BLD095,2025-11-14,Corrective,Completed,6.9,15950000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00060,EQ00026,BLD002,2025-02-11,Cleaning,Completed,8.3,21300000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00061,EQ00729,BLD047,2025-02-18,Calibration,Completed,12.0,17450000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00062,EQ00188,BLD013,2026-04-22,Corrective,Completed,3.6,23400000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00063,EQ01578,BLD100,2025-06-23,Cleaning,Open,0.8,21650000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00064,EQ01053,BLD067,2025-01-22,Inspection,Open,9.3,14500000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00065,EQ01364,BLD087,2025-01-19,Inspection,Completed,6.6,18700000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00066,EQ00226,BLD015,2026-07-13,Corrective,In Progress,10.1,22000000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00067,EQ00959,BLD061,2026-03-19,Cleaning,Completed,2.2,19550000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00068,EQ00841,BLD054,2026-03-03,Corrective,Completed,10.6,9850000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00069,EQ00365,BLD024,2025-07-06,Cleaning,Open,3.5,2600000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00070,EQ01297,BLD083,2026-07-11,Inspection,Completed,1.6,7750000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00071,EQ00596,BLD038,2025-05-04,Corrective,Completed,2.0,13450000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00072,EQ01327,BLD085,2026-05-24,Calibration,Completed,8.2,4250000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00073,EQ01649,BLD105,2025-07-25,Cleaning,In Progress,10.4,24750000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00074,EQ00371,BLD024,2025-08-22,Inspection,Completed,8.9,10750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00075,EQ01015,BLD064,2025-10-29,Calibration,Open,10.9,24750000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00076,EQ01221,BLD079,2026-02-10,Inspection,Completed,10.0,22300000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00077,EQ01063,BLD068,2026-08-01,Inspection,Completed,0.1,24100000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00078,EQ00087,BLD006,2026-02-26,Calibration,Completed,2.3,15650000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00079,EQ00470,BLD030,2025-10-30,Preventive,Open,8.1,18350000,Electrical Vendor,SYNTHETIC_VN_REALISTIC
MT00080,EQ01237,BLD079,2025-11-22,Preventive,Completed,5.3,11800000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00081,EQ01193,BLD077,2025-11-11,Preventive,In Progress,2.9,1250000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00082,EQ00224,BLD015,2026-04-04,Corrective,Completed,5.8,5750000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00083,EQ00278,BLD019,2026-04-11,Inspection,Completed,8.8,18950000,Plumbing Vendor,SYNTHETIC_VN_REALISTIC
MT00084,EQ00746,BLD048,2025-03-13,Preventive,Completed,11.4,18850000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00085,EQ01653,BLD105,2025-08-27,Calibration,In Progress,1.2,2800000,FM Team B,SYNTHETIC_VN_REALISTIC
MT00086,EQ00446,BLD029,2026-09-04,Cleaning,Completed,3.2,13850000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00087,EQ00219,BLD015,2025-11-26,Corrective,Completed,9.7,5300000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00088,EQ01675,BLD106,2025-08-01,Calibration,Open,7.0,9800000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00089,EQ01111,BLD071,2025-12-09,Cleaning,Open,6.2,21550000,HVAC Vendor,SYNTHETIC_VN_REALISTIC
MT00090,EQ01527,BLD097,2025-03-28,Calibration,Completed,3.9,10600000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00091,EQ00047,BLD003,2026-01-04,Corrective,In Progress,8.9,19900000,FM Team A,SYNTHETIC_VN_REALISTIC
MT00092,EQ01000,BLD064,2026-06-13,Calibration,Completed,0.4,14400000,FM Team A,SYNTHETIC_VN_REALISTIC
