water_meter_id,building_id,meter_type,pipe_diameter_mm,status,data_origin
WM001,BLD001,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM002,BLD002,Ultrasonic,80,Active,SYNTHETIC_VN_REALISTIC
WM003,BLD003,Mechanical,150,Active,SYNTHETIC_VN_REALISTIC
WM004,BLD004,Ultrasonic,50,Active,SYNTHETIC_VN_REALISTIC
WM005,BLD005,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM006,BLD006,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM007,BLD007,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM008,BLD008,Ultrasonic,50,Active,SYNTHETIC_VN_REALISTIC
WM009,BLD009,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM010,BLD010,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM011,BLD011,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM012,BLD012,Mechanical,150,Active,SYNTHETIC_VN_REALISTIC
WM013,BLD013,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM014,BLD014,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM015,BLD015,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM016,BLD016,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM017,BLD017,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM018,BLD018,Mechanical,150,Active,SYNTHETIC_VN_REALISTIC
WM019,BLD019,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM020,BLD020,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM021,BLD021,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM022,BLD022,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM023,BLD023,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM024,BLD024,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM025,BLD025,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM026,BLD026,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM027,BLD027,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
WM028,BLD028,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM029,BLD029,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM030,BLD030,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM031,BLD031,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM032,BLD032,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM033,BLD033,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM034,BLD034,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM035,BLD035,Ultrasonic,100,Active,SYNTHETIC_VN_REALISTIC
WM036,BLD036,Ultrasonic,200,Active,SYNTHETIC_VN_REALISTIC
WM037,BLD037,Ultrasonic,50,Active,SYNTHETIC_VN_REALISTIC
WM038,BLD038,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM039,BLD039,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM040,BLD040,Mechanical,200,Active,SYNTHETIC_VN_REALISTIC
WM041,BLD041,Smart Water Meter,150,Active,SYNTHETIC_VN_REALISTIC
WM042,BLD042,Mechanical,80,Active,SYNTHETIC_VN_REALISTIC
WM043,BLD043,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM044,BLD044,Ultrasonic,80,Active,SYNTHETIC_VN_REALISTIC
WM045,BLD045,Smart Water Meter,100,Active,SYNTHETIC_VN_REALISTIC
WM046,BLD046,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM047,BLD047,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
WM048,BLD048,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
WM049,BLD049,Mechanical,100,Active,SYNTHETIC_VN_REALISTIC
WM050,BLD050,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM051,BLD051,Smart Water Meter,50,Active,SYNTHETIC_VN_REALISTIC
WM052,BLD052,Mechanical,50,Active,SYNTHETIC_VN_REALISTIC
WM053,BLD053,Smart Water Meter,80,Active,SYNTHETIC_VN_REALISTIC
WM054,BLD054,Smart Water Meter,200,Active,SYNTHETIC_VN_REALISTIC
WM055,BLD055,Ultrasonic,150,Active,SYNTHETIC_VN_REALISTIC
